0,norms
"spaghetti,chocolate,brownies,white wine,green tea","brownies,chocolate,green tea,spaghetti,white wine"
"fresh tuna,mineral water,eggs","eggs,fresh tuna,mineral water"
"spaghetti,muffins","muffins,spaghetti"
"spaghetti,chocolate","chocolate,spaghetti"
"french fries,escalope,champagne","champagne,escalope,french fries"
"tomato sauce,light mayo","light mayo,tomato sauce"
"turkey,fresh tuna,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,chocolate,soup,milk,olive oil","chocolate,fresh tuna,frozen vegetables,ground beef,milk,mineral water,olive oil,soup,spaghetti,tomatoes,turkey"
"eggs,cookies","cookies,eggs"
"soup,chicken,gums,soda,body spray,energy drink,green tea","body spray,chicken,energy drink,green tea,gums,soda,soup"
"turkey,frozen vegetables,mineral water,cider,cooking oil,green tea","cider,cooking oil,frozen vegetables,green tea,mineral water,turkey"
spaghetti,spaghetti
clothes accessories,clothes accessories
energy drink,energy drink
"soup,bug spray,shallot,protein bar,green tea","bug spray,green tea,protein bar,shallot,soup"
"turkey,eggs","eggs,turkey"
french fries,french fries
"chocolate,milk","chocolate,milk"
"herb & pepper,whole wheat pasta,ground beef,mineral water,avocado,cider,whole wheat rice","avocado,cider,ground beef,herb pepper,mineral water,whole wheat pasta,whole wheat rice"
cookies,cookies
"shrimp,pasta","pasta,shrimp"
"grated cheese,herb & pepper,tomatoes,tomato sauce,corn","corn,grated cheese,herb pepper,tomato sauce,tomatoes"
"burgers,escalope,shallot","burgers,escalope,shallot"
cookies,cookies
yogurt cake,yogurt cake
"soup,eggs","eggs,soup"
cookies,cookies
"mineral water,chocolate,low fat yogurt","chocolate,low fat yogurt,mineral water"
"eggs,strawberries","eggs,strawberries"
"grated cheese,ground beef,spaghetti,mineral water,white wine","grated cheese,ground beef,mineral water,spaghetti,white wine"
mint,mint
"eggs,cake,french fries","cake,eggs,french fries"
"burgers,spaghetti,milk,french fries,green tea","burgers,french fries,green tea,milk,spaghetti"
"mineral water,energy bar,butter,french fries","butter,energy bar,french fries,mineral water"
"burgers,grated cheese,herb & pepper,mineral water,eggs,cooking oil","burgers,cooking oil,eggs,grated cheese,herb pepper,mineral water"
energy bar,energy bar
"energy bar,energy drink","energy bar,energy drink"
"chocolate,frozen smoothie","chocolate,frozen smoothie"
low fat yogurt,low fat yogurt
"asparagus,salad","asparagus,salad"
"burgers,french fries,low fat yogurt,green tea","burgers,french fries,green tea,low fat yogurt"
low fat yogurt,low fat yogurt
"burgers,herb & pepper,shrimp,pasta,spaghetti,mineral water,meatballs,olive oil,energy bar,french wine,eggs,salt","burgers,eggs,energy bar,french wine,herb pepper,meatballs,mineral water,olive oil,pasta,salt,shrimp,spaghetti"
"champagne,low fat yogurt","champagne,low fat yogurt"
champagne,champagne
"burgers,almonds,eggs,french fries,cookies,green tea","almonds,burgers,cookies,eggs,french fries,green tea"
"ham,soup,escalope,body spray","body spray,escalope,ham,soup"
"turkey,ham,frozen vegetables,pepper,oil,extra dark chocolate,tea,magazines","extra dark chocolate,frozen vegetables,ham,magazines,oil,pepper,tea,turkey"
"muffins,eggs,cookies","cookies,eggs,muffins"
cookies,cookies
"frozen vegetables,whole wheat pasta,ground beef,spaghetti,chocolate,green tea","chocolate,frozen vegetables,green tea,ground beef,spaghetti,whole wheat pasta"
"mineral water,barbecue sauce,chocolate","barbecue sauce,chocolate,mineral water"
"burgers,herb & pepper,energy bar,almonds,eggs,corn,mayonnaise,zucchini","almonds,burgers,corn,eggs,energy bar,herb pepper,mayonnaise,zucchini"
"turkey,burgers,ground beef,chocolate,soup,almonds,eggs,hot dogs,cottage cheese","almonds,burgers,chocolate,cottage cheese,eggs,ground beef,hot dogs,soup,turkey"
"ham,spaghetti,chocolate,eggs","chocolate,eggs,ham,spaghetti"
"ground beef,energy bar,pet food,carrots,protein bar","carrots,energy bar,ground beef,pet food,protein bar"
"ground beef,tomato sauce,spaghetti,mineral water,almonds,eggs","almonds,eggs,ground beef,mineral water,spaghetti,tomato sauce"
"mineral water,olive oil,gums,cooking oil","cooking oil,gums,mineral water,olive oil"
"shrimp,pasta,mineral water,soup,avocado,milk,olive oil,green grapes,eggs,bug spray","avocado,bug spray,eggs,green grapes,milk,mineral water,olive oil,pasta,shrimp,soup"
"shrimp,pasta,soup,cake,cooking oil,chicken,light mayo,low fat yogurt","cake,chicken,cooking oil,light mayo,low fat yogurt,pasta,shrimp,soup"
"spaghetti,mineral water,chocolate,french fries,champagne,escalope,mushroom cream sauce,fresh bread","champagne,chocolate,escalope,french fries,fresh bread,mineral water,mushroom cream sauce,spaghetti"
"shrimp,pasta,mineral water,eggs","eggs,mineral water,pasta,shrimp"
"burgers,oil,tomato juice,fresh bread","burgers,fresh bread,oil,tomato juice"
"french wine,eggs,chocolate,low fat yogurt","chocolate,eggs,french wine,low fat yogurt"
"chicken,eggs,french fries,pancakes","chicken,eggs,french fries,pancakes"
"turkey,herb & pepper,salmon,white wine,candy bars","candy bars,herb pepper,salmon,turkey,white wine"
"grated cheese,spaghetti,olive oil,eggs,french fries,green tea","eggs,french fries,grated cheese,green tea,olive oil,spaghetti"
"mineral water,energy bar","energy bar,mineral water"
"eggs,french fries","eggs,french fries"
"burgers,tomatoes,mineral water,soup,milk,almonds,eggs,chocolate,tomato juice","almonds,burgers,chocolate,eggs,milk,mineral water,soup,tomato juice,tomatoes"
muffins,muffins
pasta,pasta
"tomatoes,spaghetti,frozen smoothie","frozen smoothie,spaghetti,tomatoes"
"ground beef,spaghetti,milk","ground beef,milk,spaghetti"
french fries,french fries
"chocolate,milk","chocolate,milk"
"burgers,shrimp,pasta,frozen vegetables,spaghetti,mineral water,milk,eggs,chocolate,french fries,pancakes,low fat yogurt","burgers,chocolate,eggs,french fries,frozen vegetables,low fat yogurt,milk,mineral water,pancakes,pasta,shrimp,spaghetti"
"ground beef,mineral water,antioxydant juice,protein bar","antioxydant juice,ground beef,mineral water,protein bar"
"grated cheese,whole wheat pasta,ground beef,spaghetti,cake,energy drink","cake,energy drink,grated cheese,ground beef,spaghetti,whole wheat pasta"
grated cheese,grated cheese
pancakes,pancakes
frozen smoothie,frozen smoothie
"carrots,green tea","carrots,green tea"
chocolate,chocolate
"turkey,burgers,chocolate,olive oil,eggs,cooking oil,corn","burgers,chocolate,cooking oil,corn,eggs,olive oil,turkey"
"frozen vegetables,tomatoes,pepper,spaghetti,mineral water,pancakes,chicken,chili,tea,french fries,tomato juice,fresh bread","chicken,chili,french fries,fresh bread,frozen vegetables,mineral water,pancakes,pepper,spaghetti,tea,tomato juice,tomatoes"
cookies,cookies
ground beef,ground beef
"turkey,eggs,chocolate,frozen smoothie,tomato juice","chocolate,eggs,frozen smoothie,tomato juice,turkey"
"frozen vegetables,cooking oil,mashed potato","cooking oil,frozen vegetables,mashed potato"
"frozen vegetables,ground beef,tomato sauce,mineral water,meatballs,olive oil,light cream,tomato juice","frozen vegetables,ground beef,light cream,meatballs,mineral water,olive oil,tomato juice,tomato sauce"
"red wine,spaghetti,mineral water,soup,milk,eggs,cake,gums,cooking oil,chocolate,frozen smoothie","cake,chocolate,cooking oil,eggs,frozen smoothie,gums,milk,mineral water,red wine,soup,spaghetti"
"chocolate,tomatoes,spaghetti,mineral water,avocado,milk,olive oil,eggs,rice,french fries,brownies","avocado,brownies,chocolate,eggs,french fries,milk,mineral water,olive oil,rice,spaghetti,tomatoes"
"chocolate,shrimp,pasta,frozen vegetables,ground beef,mineral water,nonfat milk,eggs","chocolate,eggs,frozen vegetables,ground beef,mineral water,nonfat milk,pasta,shrimp"
"turkey,shrimp,pasta,pepper,spaghetti,mineral water,eggs,chicken,french fries","chicken,eggs,french fries,mineral water,pasta,pepper,shrimp,spaghetti,turkey"
cookies,cookies
"turkey,tomatoes,cake","cake,tomatoes,turkey"
"yams,mineral water,soup,milk,pancakes,whole wheat rice,barbecue sauce,carrots,chocolate,champagne","barbecue sauce,carrots,champagne,chocolate,milk,mineral water,pancakes,soup,whole wheat rice,yams"
rice,rice
"chocolate,milk","chocolate,milk"
"shrimp,pasta,frozen vegetables,water spray","frozen vegetables,pasta,shrimp,water spray"
"burgers,mineral water,milk,eggs,whole wheat rice,mint","burgers,eggs,milk,mineral water,mint,whole wheat rice"
"mineral water,vegetables mix,cake,frozen smoothie,brownies","brownies,cake,frozen smoothie,mineral water,vegetables mix"
cookies,cookies
"shrimp,pasta,chicken,chocolate bread","chicken,chocolate bread,pasta,shrimp"
shallot,shallot
"shrimp,pasta,spaghetti,eggs,hot dogs,green tea","eggs,green tea,hot dogs,pasta,shrimp,spaghetti"
burgers,burgers
"red wine,ground beef,spaghetti,mineral water,milk,olive oil,strong cheese,light cream,cooking oil","cooking oil,ground beef,light cream,milk,mineral water,olive oil,red wine,spaghetti,strong cheese"
"burgers,grated cheese,spaghetti,avocado,milk,oil,french fries","avocado,burgers,french fries,grated cheese,milk,oil,spaghetti"
"herb & pepper,whole wheat pasta,ground beef,mineral water,olive oil","ground beef,herb pepper,mineral water,olive oil,whole wheat pasta"
"shrimp,pasta,yams,milk,chocolate","chocolate,milk,pasta,shrimp,yams"
"butter,green tea","butter,green tea"
light mayo,light mayo
low fat yogurt,low fat yogurt
"herb & pepper,shrimp,pasta,spaghetti,milk","herb pepper,milk,pasta,shrimp,spaghetti"
"burgers,eggs","burgers,eggs"
"turkey,herb & pepper,ground beef,soup,avocado,milk,black tea,eggs,barbecue sauce,carrots,cookies,tomato juice,fresh bread","avocado,barbecue sauce,black tea,carrots,cookies,eggs,fresh bread,ground beef,herb pepper,milk,soup,tomato juice,turkey"
cookies,cookies
escalope,escalope
"pepper,french fries,strawberries,pancakes,low fat yogurt","french fries,low fat yogurt,pancakes,pepper,strawberries"
"frozen vegetables,yams,chicken,honey,light mayo","chicken,frozen vegetables,honey,light mayo,yams"
"chocolate,champagne","champagne,chocolate"
"herb & pepper,honey,cake,rice,protein bar","cake,herb pepper,honey,protein bar,rice"
"burgers,chocolate,frozen vegetables,ground beef,mineral water,milk,light mayo,asparagus","asparagus,burgers,chocolate,frozen vegetables,ground beef,light mayo,milk,mineral water"
"chocolate,mineral water,corn,cottage cheese,green tea","chocolate,corn,cottage cheese,green tea,mineral water"
muffins,muffins
"ham,french wine,escalope","escalope,french wine,ham"
"spaghetti,milk,whole wheat rice,mint green tea","milk,mint green tea,spaghetti,whole wheat rice"
"chocolate,body spray","body spray,chocolate"
"frozen vegetables,french fries,hot dogs","french fries,frozen vegetables,hot dogs"
candy bars,candy bars
"burgers,shrimp,pasta,milk,green tea,french fries,cookies,white wine","burgers,cookies,french fries,green tea,milk,pasta,shrimp,white wine"
"parmesan cheese,ground beef","ground beef,parmesan cheese"
"pancakes,whole wheat rice,candy bars","candy bars,pancakes,whole wheat rice"
"eggs,eggplant,cookies","cookies,eggplant,eggs"
"frozen vegetables,mineral water","frozen vegetables,mineral water"
chocolate,chocolate
"turkey,spaghetti,milk,whole wheat rice,chocolate","chocolate,milk,spaghetti,turkey,whole wheat rice"
"whole wheat pasta,ground beef,spaghetti,soup,meatballs,chicken,blueberries,cooking oil,champagne,yogurt cake,protein bar","blueberries,champagne,chicken,cooking oil,ground beef,meatballs,protein bar,soup,spaghetti,whole wheat pasta,yogurt cake"
"cooking oil,tomato juice","cooking oil,tomato juice"
"frozen vegetables,milk,eggs,french fries,green tea","eggs,french fries,frozen vegetables,green tea,milk"
"fresh tuna,spaghetti,olive oil,french wine,eggs,french fries,champagne,pancakes,light mayo","champagne,eggs,french fries,french wine,fresh tuna,light mayo,olive oil,pancakes,spaghetti"
"red wine,honey,hot dogs","honey,hot dogs,red wine"
"milk,bacon,eggs,french fries,fresh bread","bacon,eggs,french fries,fresh bread,milk"
"french fries,yogurt cake","french fries,yogurt cake"
milk,milk
french fries,french fries
chocolate,chocolate
"burgers,ham,red wine","burgers,ham,red wine"
"shrimp,pasta,tomatoes,energy bar,french wine,antioxydant juice,french fries,frozen smoothie,brownies","antioxydant juice,brownies,energy bar,french fries,french wine,frozen smoothie,pasta,shrimp,tomatoes"
green tea,green tea
low fat yogurt,low fat yogurt
"turkey,spaghetti,mineral water,soup,spinach,soda,energy drink,salt","energy drink,mineral water,salt,soda,soup,spaghetti,spinach,turkey"
"turkey,eggs","eggs,turkey"
"bug spray,hot dogs","bug spray,hot dogs"
oil,oil
"soup,energy bar,chicken,eggs,cake,french fries,body spray,strawberries","body spray,cake,chicken,eggs,energy bar,french fries,soup,strawberries"
"spaghetti,chocolate,yogurt cake","chocolate,spaghetti,yogurt cake"
"turkey,mineral water,meatballs","meatballs,mineral water,turkey"
"ground beef,mineral water,chocolate,fromage blanc,bacon,hot dogs","bacon,chocolate,fromage blanc,ground beef,hot dogs,mineral water"
"frozen vegetables,mineral water,vegetables mix,escalope","escalope,frozen vegetables,mineral water,vegetables mix"
"herb & pepper,red wine,tomatoes","herb pepper,red wine,tomatoes"
"whole wheat pasta,olive oil,cereals,brownies,green tea","brownies,cereals,green tea,olive oil,whole wheat pasta"
cookies,cookies
"olive oil,cookies,mushroom cream sauce","cookies,mushroom cream sauce,olive oil"
"ground beef,pancakes,cooking oil,gluten free bar,light mayo","cooking oil,gluten free bar,ground beef,light mayo,pancakes"
"mineral water,french fries","french fries,mineral water"
herb & pepper,herb pepper
salmon,salmon
"eggs,escalope","eggs,escalope"
"mineral water,tomato juice","mineral water,tomato juice"
mineral water,mineral water
"shrimp,mineral water,soup,black tea","black tea,mineral water,shrimp,soup"
"cake,frozen smoothie","cake,frozen smoothie"
"turkey,burgers,grated cheese,tomatoes,chocolate,fromage blanc,honey,whole wheat rice","burgers,chocolate,fromage blanc,grated cheese,honey,tomatoes,turkey,whole wheat rice"
"frozen vegetables,ground beef,mineral water,olive oil,pancakes","frozen vegetables,ground beef,mineral water,olive oil,pancakes"
"turkey,burgers,ground beef,milk,olive oil,cake,fresh bread","burgers,cake,fresh bread,ground beef,milk,olive oil,turkey"
"whole wheat pasta,ground beef,spaghetti,yams,mineral water,soup,chutney,cereals,energy drink,protein bar","cereals,chutney,energy drink,ground beef,mineral water,protein bar,soup,spaghetti,whole wheat pasta,yams"
"eggs,whole wheat rice,cake,green tea,escalope","cake,eggs,escalope,green tea,whole wheat rice"
"ground beef,yams,soup,avocado,salmon,green tea","avocado,green tea,ground beef,salmon,soup,yams"
milk,milk
"spaghetti,chocolate","chocolate,spaghetti"
"whole wheat pasta,honey","honey,whole wheat pasta"
"whole wheat pasta,green tea","green tea,whole wheat pasta"
"spaghetti,meatballs,vegetables mix,chocolate","chocolate,meatballs,spaghetti,vegetables mix"
"eggs,low fat yogurt","eggs,low fat yogurt"
"fresh tuna,shrimp,pasta,mineral water,olive oil,eggs,cake,brownies,tomato juice","brownies,cake,eggs,fresh tuna,mineral water,olive oil,pasta,shrimp,tomato juice"
"mineral water,green grapes,hot dogs,fresh bread","fresh bread,green grapes,hot dogs,mineral water"
"frozen vegetables,meatballs,eggs,chocolate","chocolate,eggs,frozen vegetables,meatballs"
chocolate,chocolate
"meatballs,milk","meatballs,milk"
low fat yogurt,low fat yogurt
green tea,green tea
"escalope,pasta","escalope,pasta"
"pepper,chocolate,olive oil,french wine,salmon,rice,light mayo,fresh bread,magazines","chocolate,french wine,fresh bread,light mayo,magazines,olive oil,pepper,rice,salmon"
"red wine,french wine,vegetables mix,rice,clothes accessories,hot dogs,green tea","clothes accessories,french wine,green tea,hot dogs,red wine,rice,vegetables mix"
"burgers,dessert wine,spaghetti,chicken,cake,protein bar,green tea","burgers,cake,chicken,dessert wine,green tea,protein bar,spaghetti"
"french wine,cake,fresh bread","cake,french wine,fresh bread"
"burgers,frozen vegetables,flax seed,eggs","burgers,eggs,flax seed,frozen vegetables"
red wine,red wine
"pepper,mineral water,energy bar,green grapes","energy bar,green grapes,mineral water,pepper"
"milk,eggs,cake,chocolate,french fries,green tea","cake,chocolate,eggs,french fries,green tea,milk"
french fries,french fries
almonds,almonds
"burgers,mineral water,green tea","burgers,green tea,mineral water"
"milk,pancakes","milk,pancakes"
"pancakes,eggs,salt,tomato juice","eggs,pancakes,salt,tomato juice"
mineral water,mineral water
"ham,spaghetti,mineral water,olive oil","ham,mineral water,olive oil,spaghetti"
"salt,tomato juice,fresh bread","fresh bread,salt,tomato juice"
"spaghetti,mushroom cream sauce","mushroom cream sauce,spaghetti"
"spaghetti,mineral water,eggs,pet food","eggs,mineral water,pet food,spaghetti"
"frozen vegetables,spaghetti","frozen vegetables,spaghetti"
energy drink,energy drink
muffins,muffins
"turkey,milk","milk,turkey"
cookies,cookies
chocolate,chocolate
"spaghetti,mineral water,eggs,cooking oil,chocolate,escalope","chocolate,cooking oil,eggs,escalope,mineral water,spaghetti"
"shrimp,frozen vegetables,pepper,spaghetti,green tea","frozen vegetables,green tea,pepper,shrimp,spaghetti"
"burgers,fresh tuna,red wine,mineral water,french fries,hand protein bar,low fat yogurt","burgers,french fries,fresh tuna,hand protein bar,low fat yogurt,mineral water,red wine"
"pancakes,eggs,energy drink,fresh bread","eggs,energy drink,fresh bread,pancakes"
"strong cheese,salmon,green tea,french fries,frozen smoothie,hot dogs","french fries,frozen smoothie,green tea,hot dogs,salmon,strong cheese"
"grated cheese,shrimp,pasta,tomatoes,milk,frozen smoothie,sandwich","frozen smoothie,grated cheese,milk,pasta,sandwich,shrimp,tomatoes"
"herb & pepper,whole wheat pasta,olive oil,pancakes,eggs","eggs,herb pepper,olive oil,pancakes,whole wheat pasta"
"spaghetti,antioxydant juice","antioxydant juice,spaghetti"
"chocolate,milk,almonds,eggs,strawberries,white wine","almonds,chocolate,eggs,milk,strawberries,white wine"
"french fries,strawberries","french fries,strawberries"
mineral water,mineral water
eggs,eggs
escalope,escalope
cake,cake
"whole wheat pasta,antioxydant juice,body spray,green tea","antioxydant juice,body spray,green tea,whole wheat pasta"
"mineral water,oil,frozen smoothie","frozen smoothie,mineral water,oil"
"french fries,champagne","champagne,french fries"
"chocolate,french fries","chocolate,french fries"
"frozen vegetables,spaghetti,eggs","eggs,frozen vegetables,spaghetti"
hot dogs,hot dogs
"chocolate,cookies","chocolate,cookies"
pancakes,pancakes
"shrimp,butter,chicken,salmon","butter,chicken,salmon,shrimp"
"chocolate,cookies,babies food","babies food,chocolate,cookies"
"pepper,spaghetti,cake,chocolate,french fries,fresh bread","cake,chocolate,french fries,fresh bread,pepper,spaghetti"
"avocado,oil,cereals,french fries","avocado,cereals,french fries,oil"
"herb & pepper,spaghetti,mineral water,spinach,eggs,oil,cooking oil,green tea,shampoo,tomato juice,low fat yogurt","cooking oil,eggs,green tea,herb pepper,low fat yogurt,mineral water,oil,shampoo,spaghetti,spinach,tomato juice"
"herb & pepper,frozen vegetables,ground beef,pepper,spaghetti,mint green tea,french fries","french fries,frozen vegetables,ground beef,herb pepper,mint green tea,pepper,spaghetti"
french fries,french fries
"green tea,tomato juice","green tea,tomato juice"
"eggs,whole wheat rice,chocolate","chocolate,eggs,whole wheat rice"
"grated cheese,herb & pepper,red wine,spaghetti,mineral water,salmon,eggs,cooking oil,green tea","cooking oil,eggs,grated cheese,green tea,herb pepper,mineral water,red wine,salmon,spaghetti"
"french fries,cookies,shallot,tomato juice,fresh bread,low fat yogurt","cookies,french fries,fresh bread,low fat yogurt,shallot,tomato juice"
"burgers,fresh tuna,spaghetti,muffins,honey","burgers,fresh tuna,honey,muffins,spaghetti"
"herb & pepper,ground beef,spaghetti,eggs,chicken","chicken,eggs,ground beef,herb pepper,spaghetti"
"grated cheese,muffins,tomato juice,mayonnaise","grated cheese,mayonnaise,muffins,tomato juice"
"whole wheat pasta,yams,mineral water,muffins,frozen smoothie,hot dogs,energy drink","energy drink,frozen smoothie,hot dogs,mineral water,muffins,whole wheat pasta,yams"
"burgers,spaghetti,soup,milk,olive oil,salmon,eggs,blueberries","blueberries,burgers,eggs,milk,olive oil,salmon,soup,spaghetti"
"chocolate,champagne,magazines","champagne,chocolate,magazines"
"frozen vegetables,spaghetti,yams,mineral water,french wine,green grapes,rice,chocolate","chocolate,french wine,frozen vegetables,green grapes,mineral water,rice,spaghetti,yams"
"tomato sauce,chocolate","chocolate,tomato sauce"
"milk,eggs","eggs,milk"
pet food,pet food
yogurt cake,yogurt cake
green tea,green tea
"escalope,pasta","escalope,pasta"
"herb & pepper,ground beef","ground beef,herb pepper"
"mineral water,honey,brownies","brownies,honey,mineral water"
"turkey,eggs,cake,energy drink","cake,eggs,energy drink,turkey"
"turkey,burgers,dessert wine,ground beef,soup,salmon,eggs,gums,tomato juice,candy bars","burgers,candy bars,dessert wine,eggs,ground beef,gums,salmon,soup,tomato juice,turkey"
"spaghetti,mineral water,chicken","chicken,mineral water,spaghetti"
"turkey,ground beef,carrots,french fries,melons","carrots,french fries,ground beef,melons,turkey"
"mineral water,eggs,low fat yogurt","eggs,low fat yogurt,mineral water"
"turkey,cooking oil,shampoo","cooking oil,shampoo,turkey"
"spaghetti,hot dogs","hot dogs,spaghetti"
"chocolate,green tea","chocolate,green tea"
"grated cheese,pepper,mineral water,chocolate,eggs,cake,mashed potato,tomato juice","cake,chocolate,eggs,grated cheese,mashed potato,mineral water,pepper,tomato juice"
chocolate,chocolate
"spaghetti,olive oil,strong cheese,pancakes","olive oil,pancakes,spaghetti,strong cheese"
"red wine,mineral water,soup,rice,cookies","cookies,mineral water,red wine,rice,soup"
"red wine,shrimp,spaghetti","red wine,shrimp,spaghetti"
green tea,green tea
"mineral water,chicken,french fries,frozen smoothie","chicken,french fries,frozen smoothie,mineral water"
muffins,muffins
"cake,chocolate","cake,chocolate"
"fresh tuna,tomatoes,mineral water,soup,avocado,meatballs,olive oil","avocado,fresh tuna,meatballs,mineral water,olive oil,soup,tomatoes"
"turkey,french fries","french fries,turkey"
"burgers,turkey,herb & pepper,ground beef,pancakes,eggs,light cream,rice,champagne,fresh bread","burgers,champagne,eggs,fresh bread,ground beef,herb pepper,light cream,pancakes,rice,turkey"
escalope,escalope
"chocolate,escalope,fresh bread","chocolate,escalope,fresh bread"
"ham,spaghetti,french wine,vegetables mix,chocolate,french fries","chocolate,french fries,french wine,ham,spaghetti,vegetables mix"
"avocado,light mayo","avocado,light mayo"
"spaghetti,yams,butter,chocolate","butter,chocolate,spaghetti,yams"
"energy bar,eggs,french fries","eggs,energy bar,french fries"
"fresh tuna,barbecue sauce,eggplant","barbecue sauce,eggplant,fresh tuna"
energy drink,energy drink
"whole wheat rice,french fries,hot dogs,green tea","french fries,green tea,hot dogs,whole wheat rice"
"mineral water,chicken,green tea","chicken,green tea,mineral water"
"eggs,cake,mushroom cream sauce","cake,eggs,mushroom cream sauce"
escalope,escalope
"antioxydant juice,escalope","antioxydant juice,escalope"
"shrimp,spaghetti,french fries","french fries,shrimp,spaghetti"
"grated cheese,spaghetti,salmon,tomato juice","grated cheese,salmon,spaghetti,tomato juice"
"spaghetti,green tea","green tea,spaghetti"
"champagne,protein bar","champagne,protein bar"
"mineral water,avocado,chocolate","avocado,chocolate,mineral water"
"tomatoes,champagne,green tea","champagne,green tea,tomatoes"
"chicken,french fries,escalope","chicken,escalope,french fries"
"frozen vegetables,tomatoes,eggs,green tea,frozen smoothie,light mayo","eggs,frozen smoothie,frozen vegetables,green tea,light mayo,tomatoes"
"ground beef,chicken,cider,green grapes,honey,chocolate,french fries,champagne,frozen smoothie,escalope","champagne,chicken,chocolate,cider,escalope,french fries,frozen smoothie,green grapes,ground beef,honey"
"french fries,champagne","champagne,french fries"
"mineral water,soup","mineral water,soup"
"frozen vegetables,spaghetti,milk,chocolate,babies food","babies food,chocolate,frozen vegetables,milk,spaghetti"
"honey,whole wheat rice","honey,whole wheat rice"
"whole wheat rice,chicken,tomato juice","chicken,tomato juice,whole wheat rice"
pancakes,pancakes
"green tea,protein bar,tomato juice,candy bars","candy bars,green tea,protein bar,tomato juice"
french fries,french fries
mineral water,mineral water
escalope,escalope
